Transcription_N,Class
"ich sitze in der Warteschleife und werd' dann aus der Warteschleife herausgeschmissen das find' ich nicht in Ordnung vorallendingen weil ich ein Problem mit meinem Router habe und diese gern gelöst bekommen habe weil ich  dringend  geschäftliche Dingen klären muss per Internet",a
"ich sitze in der Warteschleife und werd' dann aus der Warteschleife herausgeschmissen das find' ich nicht in Ordnung vorallendingen weil ich ein Problem mit meinem Router habe und diese gern gelöst bekommen habe weil ich  dringend  geschäftliche Dingen klären muss per Internet",1
"weiter",0
"also das Kundengespräch war sehr unbefriedigend ich bin überhaupt nicht in mein Problem weitergekommen und die Dame hat den Hörer einfach aufgelegt und sich nicht verabschiedet also weiß ich nicht das ist überhaupt kein Service für mich",b
"sehr höflich und  sehr gute Auskunft danke weiter",0
"ich war mit dem Gespräch sehr zufrieden weil Ihre Mitarbeiterin mir auch günstige Angebote gemacht hat und mir auch geraten hat  den Tarif noch beizubehalten  obwohl sie mir hätte jetzt einen höheren Tarif verkaufen können und  ich fand' die Beratung sehr gut",1
"äußerst zufrieden  das Gespräch war sehr hilfreich für mich",0
"weiter",0
"ja ich hab' eine Verbindung zu Ihnen gehabt  wurde oder sollte weiter  verbunden werden habe aber ich bin einfach  weiter also nicht mehr angenommen worden und jetzt nur noch auf diese Ansage gekommen das ist eigentlich nicht im Sinne des Erfinders weiter",a
"ich habe zehn Minuten auf ein Gespräch warten müssen was ich zu lang finde und die den Grund für die Störung des Internetanschlusses konnte man mir nicht nennen und es auch nicht wie lange es dauern wird",3
"ich habe zehn Minuten auf ein Gespräch warten müssen was ich zu lang finde und die den Grund für die Störung des Internetanschlusses konnte man mir nicht nennen und es auch nicht wie lange es dauern wird",e
"ich möcht' mich noch mal bei Ihren Kollegen und Mitarbeitern bei Herrn  bedanken es war sehr hilfreich danke",0
"mein DSL war gestört und ich kann jetzt wieder telefonieren oder kann wieder ins Internet gehen so mit der Leistung bin ich zufrieden Dankeschön und weiter",3
"äußerst zufrieden",0
"ich war sehr zufrieden es ist  so wie ich bin kurz und präzise relativ flott abgelaufen hat sich sofort drum gekümmert das hat also meines Erachtens sehr gut funktioniert weiter",0
"ich hab' mich per Telefon beraten lassen und mir wurde ein Vertrag versprochen mit sechzehn Euro noch was und zwei Komma fünf Cent dass das das billigste ist und letztendlich bekomm' ich jetzt Post mit einem Vertrag der siebzehn Euro fünf und neunzig ist und zwei Komma neun Cent und jetzt hat sie mir gesagt dass das der billigste ist also entweder hat bei Ihnen keine Ahnung gehabt oder das das ist die Masche von der Telekom ein zu verarschen doof ist natürlich dass jetzt schon das Vertrauensverhältnis im Arsch ist von Anfang an",1
"ja guten Tag  ich habe ein Email bekommen von T-Online und da wurde bestätigt dass ich eine Rechnung online nicht mehr bekomme und ich hätte sie gekündigt das hab' ich natürlich nicht getan und der Kollege hat das alles glaub' ich wieder zu meiner Zufriedenheit eingerichtet und ich werde wohl hoffentlich die nächsten Rechnungen auch wieder online bekommen",4
"ich hab' seit einer guten halben Stunde gewartet dass ich endlich jetzt mal verbunden worden bin und sobald ich mit dem Kunden  Berater gesprochen hab' bin ich also sofort rausgeschmissen worden und wenn das noch ein Service ist ich weiß nicht was man dann noch machen soll danke auf Wiederhören",e
"ich hab' seit einer guten halben Stunde gewartet dass ich endlich jetzt mal verbunden worden bin und sobald ich mit dem Kunden  Berater gesprochen hab' bin ich also sofort rausgeschmissen worden und wenn das noch ein Service ist ich weiß nicht was man dann noch machen soll danke auf Wiederhören",b
"weiter",0
"weiter",0
"so ich war mit dem Gespräch äußerst zufrieden ein sehr freundlicher und kompetenter Mitarbeiter aber mehr Zeit benötige ich jetzt eigentlich für die Bewertung nicht weiter bitte weiter",0
"der Service war einwandfrei die Wartezeit war katastrophal das war's weiter",e
"ich habe heute mit einem Herr  gesprochen wegen einer detaillierten Telefonrechnung die anscheinend seit September nicht machbar ist obwohl ich zwei mal die schriftlich geliefert habe und der Herr  der war sehr nett und sehr zuvorkommend und hat mir versprochen dass es jetzt klappt lassen wir uns überraschen",4
"es war ein sehr  gutes kurzes Gespräch so wünsch' ich mir das eigentlich auch ich habe die  Information die ich brauchte schnell erhalten sehr nette Dame auch gewesen die auch  mit Ihrer Stimme Verständnis vermittelt hat für meine Problematik die ich hatte von daher muss ich wirklich sagen sehr zufrieden war ja jetzt auch nichts  groß Spektakuläres ist aber  ich kenn' das von anderen Telekom Dienstleistern die auch mit  Zahlen und Nummern beginnen da ist das teilweise nicht so der Fall und hier muss ich sagen  aufgrund der Erreichbarkeit die immer eigentlich ganz gut ist  bin ich sehr zufrieden",0
"ich bin nicht unzufrieden weil  meine Telefon  das Handy  Geräusch hat und die Internetverbindung des Handys   abgetrennt wird der Internetverbindung ist nicht in Ordnung das funktioniert nicht der kommt ab und zu mal das Signal und ab und zu mal geht die weg ich bin nicht zufrieden meine Internet ist gestört mein Internet ist kaputt mein Internet ist kaputt bitte ich möchte es repariert wird meine  Router vermute ist es ist nicht in Ordnung meine Router glaube ich ist es ist kaputt bitte meine Telefon gibt's ständig Geräusch",3
