"1256192887354.txt";"TRANSCRIPTION: Sie war nicht groß gewillt mir zu helfen
";"d";;;;;"Häufigkeit absolut";"Kategorie";"Häufigkeit relativ (%)"
"1256192887600.txt";"TRANSCRIPTION: @hes@ [pause] weiter
";0;;;;;1000;"filled";
"1256194687684.txt";"TRANSCRIPTION: [fragment] mich [fragment] man wollte mich weiterverbinden und ich bin jetzt zu Ihnen zur Beurteilung gekommen ich möchte noch gar nicht beurteilen weil ich erst mal meinen Service bekommen möchte
";"a";"c";;;;199;1;19,9
"1256194807979.txt";"TRANSCRIPTION: es geht um die Kundennummer [kundennr] @hes@ zig fache @hes@ @hes@ [fragment] @hes@ Anfragen habe ich [fragment] an Euch gestellt geschrieben will *eine* *Aufkündigung* hab' auch *eine* *Vertragsbeendigung* hab' Telefon abgegeben und trotzdem kommt keine Endrechnung jetzt kommt wieder *eine* Rechnung für Oktober die nicht [fragment] also die werd' ich auf jeden Fall zurückerstatten kümmert Euch doch mal um solche Fälle irgendwo ist da der Hund begraben keiner kann etwas *sagen* und helfen also irgendwo geht das vollkommen an Euch vorbei danke
";1;4;"d";;;9;2;0,9
"1256195048832.txt";"TRANSCRIPTION: es konnte mir leider nicht geholfen werden
";0;;;;;44;3;4,4
"1256195169030.txt";"TRANSCRIPTION: weiter
";0;;;;;35;4;3,5
"1256195529240.txt";"TRANSCRIPTION: ich [fragment] ich habe die Information die ich brauche nicht bekommen bezüglich einer Rechnung von zwei tausend fünf die ich [fragment] @hes@ an irgendeine Firma bezahlen soll ich habe keine Kundennummer und die Dame verlangte von mir eine Kundennummer
";4;;;;;199;"a";19,9
"1256195649489.txt";"TRANSCRIPTION: [fragment] meine [fragment] meine DSL Leistung funktioniert nicht
";3;;;;;245;"b";24,5
"1256195769756.txt";"TRANSCRIPTION: es ist es ist überhaupt kein Gespräch zustande gekommen ich war in der Warteschleife und @hes@ bin [fragment] letztendlich @hes@ zur Bewertung aufgefordert worden [fragment] für mich
";"a";;;;;55;"c";5,5
"1256196010606.txt";"TRANSCRIPTION: es geht mir dem wegen meine Verträge wollt' ich was verlängern und @hes@ die Kollegin hat war *nicht* [fragment] also war ich *nicht* *zufrieden*
";1;;;;;108;"d";10,8
"1256196130871.txt";"TRANSCRIPTION: @hes@ es geht um *einen* Handy Austausch ich bin deswegen unzufrieden weil's hieß @hes@ @hes@ es käme vor drei Tagen ist nicht angekommen und ich krieg' auch keine Informationen dass sich dieser Termin verschiebt oder was überhaupt mit dem Gerät ist ich muss ständig bei Ihnen anrufen das ist absolut Käse Sie sind *ein* Kommunikationsunternehmen und sollten in der Lage sein auch Ihre Zulieferer so weit zu bringen dass die mit den Kunden kommunizieren in *irgendeiner* Art und Weise und deswegen bin ich sehr verärgert Ende
";1;"d";;;;69;"e";6,9
"1256196131717.txt";"TRANSCRIPTION: es geht hier um *eine* Vertragsverlängerung ja von zwei Telefonanschlüssen ja wo mir die Telekom nur *eine* Kulanz gibt von zwanzig Euro für *ein* Endgerät her wobei der Anschluss von wo aus telefoniert wird im Grunde ist der sechzehn Jahre schon bei Euch unter Vertrag ist ja und aus dem Grund her dass man sich *nicht* einig wird und wie gesagt nur *eine* Kulanz von zwanzig Euro da ist wird jetzt der eine Vertrag sowohl *als* der andere Vertrag gekündigt
";1;;;;;;;
"1256196372438.txt";"TRANSCRIPTION: [fragment] schlechte Beratung
";"d";;;;;;;
"1256196612836.txt";"TRANSCRIPTION: Sie haben mir @hes@ [vocal] mir Rechnung also mir ist @hes@ Geld abgebucht und das find' ich überhaupt in *Ordnung* die haben Sie haben mir ein ((Telefon)) geschickt und obwohl *ich* das [fragment] @hes@ gar nicht gemacht hat jetzt verlangen Sie von mir [fragment] @hes@ vierzig Euro und neunzig Cent das find' ich überhaupt nicht in *Ordnung* keiner hat mir vorher Bescheid gesagt dass ich bezahlen muss obwohl ich das nicht ja gar nicht gemacht hat ich war ja auch nicht da deshalb (()) hab' ich überhaupt nicht gesehen Punkt
";4;1;;;;;;
"1256196853077.txt";"TRANSCRIPTION: ich wurde nicht verbunden
";"a";;;;;;;
"1256196973276.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256197213522.txt";"TRANSCRIPTION: weiter weiter
";0;;;;;;;
"1256197694607.txt";"TRANSCRIPTION: die *Organisation* bei Ihnen ist katastrophal ich sollte im Moment von der Anmeldung weiterverbunden werden zur Umzugs Organisation und da kommt dieser verrückte [fragment] @hes@ Fragen Roboter wieder und ich muss Fragen beantworten nach de Motto das Gespräch ist beendet [breath] Katastrophe brauche dringend hier *einen* Anschluss für eine sehr alte Dame *also* ist Lebens @hes@ @hes@ notwendig und ich komm' bei Ihnen einfach nicht weiter [fragment] ich finde nur Roboter die ich @hes@ beantworten muss gibt's denn überhaupt keine persönliche Gespräch mehr
";"c";2;;;;;;
"1256197814856.txt";"TRANSCRIPTION: ich bin überhaupt nicht weitergeleitet worden ich konnte mit [fragment] niemand sprechen
";"a";;;;;;;
"1256197935707.txt";"TRANSCRIPTION: habe keine Antwort auf meine Frage bekommen angeblich warten noch andere Kunden in der Leitung und das Gespräch ist jetzt zu Ende
";"a";;;;;;;
"1256198176583.txt";"TRANSCRIPTION: kein direkter Kontakt möglich warten ohne Hilfe
";"a";;;;;;;
"1256198536857.txt";"TRANSCRIPTION: es ist nervig dass man weitergeleitet wird und dass Sie sich nicht vergewissern dass der andere an der [fragment] [fragment] Leitung an der anderen Leitung es annehmen kann und dass ich auch *eine* Bewertung machen soll ohne *bevor* gefragt zu werden ich möchte weiterverbunden werden bitte
";"a";;;;;;;
"1256198897075.txt";"TRANSCRIPTION: man man wird absolut nur in Warteschleifen reingestellt das kann's nicht sein Sie verärgern damit nicht nur Ihre Kunden sondern die springen auch ab weiter
";0;;;;;;;
"1256199017457.txt";"TRANSCRIPTION: [fragment] [pause] hallo hallo
";0;;;;;;;
"1256199017789.txt";"TRANSCRIPTION: erstens hab' ich eine Viertelstunde auf die @hes@ auf den Anschluss gewartet dann sollt' ich weiterverbunden werden zu einem Techniker und wurde abgewürgt das finde ich unmöglich ich kann doch nicht jedes Mal *eine* Viertelstunde warten bis mir jemand irgendwas sagen kann mich weiterverbindet und ich dann wieder abgewürgt werde weiter
";"e";"c";;;;;;
"1256199257887.txt";"TRANSCRIPTION: der ganze Service wie man mit mit Kunde umgeht *und* ständig immer wiederholte @hes@ Fragen und @hes@ das ist ((mir)) viel versprochen und im *Endeffekt* gar nichts gemacht
";"d";;;;;;;
"1256199738146.txt";"TRANSCRIPTION: ich werde hier sehr unprofessionell behandelt *also* es ist ein unerwünschter Auftrag der bei Euch im System ist und jetzt geht's um die Hardware die zurückgeschickt werden soll @hes@ unterm Strich sehr unzufriedener Telekom Kunde hier
";1;;;;;;;
"1256200219033.txt";"TRANSCRIPTION: super unfreundlich Gespräch wurde einfach beendet
";"b";"d";;;;;;
"1256200579307.txt";"TRANSCRIPTION: es wurde keine kurzfristige verbindliche Lösung angeboten
";0;;;;;;;
"1256200579606.txt";"TRANSCRIPTION: weiter [garbage] [vocal] Mensch mach'
";0;;;;;;;
"1256200819739.txt";"TRANSCRIPTION: mit den Leuten von Servicecenter kann man überhaupt gar nicht sprechen @hes@ heute war der Techniker da DSL funktioniert nicht hat noch nie funktioniert und mein Vater soll für was bezahlen was nicht funktioniert das @hes@ seh' ich nicht ein ich wurde verbunden immer weiterverbunden Gespräch wurde [fragment] weggedrückt dann kam die die Vorgesetzte die wollte sich gar nicht vorstellen [fragment] ganz schlimme Beratung ganz schlimme mein Vater kann kein Deutsch das wird ausgenutzt heute heute geht der zum Anwalt und macht das [fragment] schriftlich so wie sie das gesagt hat @hes@ ganz schlechte Beratung @hes@ unfreundlich und @hes@ ich weiß nicht was für Leute bei Ihnen arbeiten da könnte man *eine* Oma hinsetzen und sie würde auch mir so weiterhelfen Dankeschön
";3;"d";;;;;;
"1256200819962.txt";"TRANSCRIPTION: ich habe [fragment] ich habe für mein Anliegen keine ausreichende oder mich zufriedenstellende Antwort bekommen
";0;;;;;;;
"1256200820017.txt";"TRANSCRIPTION: ich konnte nicht zu dem Bearbeiter durchgestellt werden mit dem ich sprechen wollte weil schon alles besetzt war und ich hier aber schon *eine* ganze Weile versuche [breath] mein Problem zu lösen und schon *eine* Woche kein Internet Anschluss hab' und trotzdem dafür bezahle Dankeschön
";3;;;;;;;
"1256201060693.txt";"TRANSCRIPTION: ich wurde ständig weiterverbunden und hinterher hieß es bitte rufen Sie später an wir haben keine Zeit für Sie ich bin wütend
";0;;;;;;;
"1256201301016.txt";"TRANSCRIPTION: nachdem ich Ihre Hotline nun angerufen habe @hes@ mehrmals verbunden und durchgestellt wurde und nun mittlerweile zehn Minuten am Hörer kam dann *eine* elektronische Ansage dass alle Leitungen *belegt* und dass Sie sich gefreut haben mich @hes@ irgendwo erreicht zu haben beziehungsweise dass ich Sie erreicht habe und ich möge doch zu einem späteren Zeitpunkt zurückrufen ich erwarte dass Sie mich zurückrufen darüber bin ich ziemlich verärgert muss ich Ihnen ganz ehrlich sagen so weiter im Text
";"e";"a";;;;;;
"1256201781316.txt";"TRANSCRIPTION: Gespräch wurde einfach unterbrochen das Gespräch wurde einfach unterbrochen ich war noch nicht fertig
";"b";;;;;;;
"1256202021578.txt";"TRANSCRIPTION: ständig falsche Aussagen wo man was beantragen kann
";"d";;;;;;;
"1256202141787.txt";"TRANSCRIPTION: [fragment] [garbage]
";0;;;;;;;
"1256202141861.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256202501905.txt";"TRANSCRIPTION: der Service hat einfach das Gespräch beendet
";"b";;;;;;;
"1256202862146.txt";"TRANSCRIPTION: [fragment] falsche *Auskünfte"" von den Beratern einfach miserabel
";"d";;;;;;;
"1256202862365.txt";"TRANSCRIPTION: die Freundlichkeit und einfach den Hörer aufgelegt
";"d";"b";;;;;;
"1256202982401.txt";"TRANSCRIPTION: [fragment] Beschwerde über eine Telefonsperre
";1;;;;;;;
"1256202982689.txt";"TRANSCRIPTION: der Kollege wollte anrufen um mein Problem zu klären das ist nicht erfolgt das Gespräch wurde stattdessen beendet
";"b";;;;;;;
"1256203462808.txt";"TRANSCRIPTION: jedes Mal wenn ich anrufe entsteht das Problem ich bin Kunde bei der Telekom und man stellt fest ich wäre Kunde bei T-Online und @hes@ hab' aber seinerzeit mein Vertrag von [fragment] der [fragment] Telekom vermittelt bekommen die damals Einsicht hatte in die Unterlagen der T-Online also dieses Hin und Her zwischen den Firmen geht mir ziemlich auf den Senkel und ich bin jetzt auch aus dem Gespräch abgewürgt worden man wollte mich an T-Online weiterverbinden und das hat scheinbar nicht geklappt
";"c";;;;;;;
"1256203583039.txt";"TRANSCRIPTION: ich hatte nur zwei Sekunden den Mitarbeiter am Telefon und dann sofort dieses Ende diese Befragung das finde ich Scheibenkleister
";"b";;;;;;;
