"1259709958928.txt";"TRANSCRIPTION: [breath] meine Beraterin war sehr sehr freundlich und zuvorkommend";0;;
"1259727719506.txt";"TRANSCRIPTION: weiter";0;;
"1259732881049.txt";"TRANSCRIPTION: die Dame mit der ich *gerade* gesprochen habe hat den Sachverhalt den ich ihr geschildert habe nicht begriffen wir bekommen eine Mahnung als Zentrale für hundert achtzig Kindertagesstätten die aber eigenständig für ihre Telefonrechnungen verantwortlich sind [breath] wir als Zentrale sind kein Kunde und die Dame am Telefon hat einfach nicht bereifen können [pause] dass [fragment] eine Mahnung auch dem Kunden zugestellt werden kann und dass in Ihrem System ein Fehler ist aber ich bin nicht dafür verantwortlich dass dieser Fehler [pause] behoben wird ich als Nichtkunde kann nicht Ihnen [fragment] @hes@ etwas zuschicken und sagen ändern Sie die Kundendaten von Meier Müller Schulze das muss Meier Müller Schulze selber machen [breath] und zum zweiten ist es eine Unverschämtheit das Gespräch einfach zu beenden indem man den Hörer auflegt so mein Name ist [nachn] ich bin zuständig in der Vereinigung [ort] Kindertagesstätten unter anderem";"d";4;"b"
"1259733241312.txt";"TRANSCRIPTION: ich bin noch nicht fertig mit dem Gespräch ich bin einfach abgeschnitten worden eine Unverschämtheit [pause] ich möchte mit dem Mitarbeiter noch mal sprechen";"b";;
"1259733961553.txt";"TRANSCRIPTION: [fragment] [noise]";0;;
"1259736001866.txt";"TRANSCRIPTION: sehr zufrieden";0;;
"1259736002088.txt";"TRANSCRIPTION: die Vermittlung mit T-Online klappte nicht";"c";;
"1259736363297.txt";"TRANSCRIPTION: ja ich hab' @hes@ jetzt @hes@ *ein* Störungsproblem gehabt mit dem [fragment] mit dem gegenüberliegendem also Gesprächpartner also *nicht* mit dieser Dame wo mit mir gesprochen hat von Telekom sondern mit dem Anschluss [tel] [breath] @hes@ Familie [nachn] [str] [hausnr] also laut Aussage @hes@ *ist* diese Person oder @hes@ diese Familie nicht mehr Telekom Kunde die Dame konnte mir dann auch entsprechend nicht weiter helfen in Folge *dessen* @hes@ *ist* *das* @hes@ bin ich eigentlich nicht weiter gekommen weil man mir auch *nicht* sagen kann welchen Anbiete die haben nicht okay danke";1;3;
"1259736363537.txt";"TRANSCRIPTION: weiter";0;;
"1259736603597.txt";"TRANSCRIPTION: [breath] ja mit diesem @hes@ Gespräch jetzt @hes@ war ich zufrieden ich hatte vorher @hes@ paar Minuten vorher ein Gespräch mit einem @hes@ jungen Mann aber der @hes@ dem war das wohl zu viel der hat aufgelegt deswegen hatte ich noch mal angerufen";"d";"b";
"1259736963809.txt";"TRANSCRIPTION: [breath] @hes@ sehr freundliche Aufnahme meines Wunsches";0;;
"1259736964051.txt";"TRANSCRIPTION: wie soll ich eine Beratung bewerten wenn Ihre blöde Telefonanlage anders kann man das nicht nennen einen während des Beratungsgesprächs rauswirft das hab' ich jetzt wiederholt es ist mir nicht möglich selbst bei einem Premium Anschluss irgendeinen kompetenten Berater an die Strippe zu kriegen und wenn doch dann macht Ihre Technik schlapp und die Verbindung bricht ab";"b";;
"1259737684164.txt";"TRANSCRIPTION: [breath] ja ich find also *eine* Unverschämtheit ich bin jetzt schon zehn Minuten hier in der Leitung [breath] dann werd' ich verbunden dann höre ich dass irgendwelche Schreibmaschinen oder Computer [fragment] @hes@ bewegt werden und es meldet sich keiner und dann [fragment] *besitzen Sie noch die Frechheit zu fragen ob man mit Ihrem Service zufrieden ist wir haben jetzt seit einem halben Jahr [breath] haben wir eine Störung in unserem öffentlichen Telefon im Bürgerhaus von [ort] [breath] und Ihr Unternehmen ist nicht in der Lage da irgendwie Abhilfe zu schaffen [breath] wenn ich jetzt heute nicht von Ihnen höre geb' ich die Sache an die Presse ich bin es jetzt langsam leid [pause] [noise] so jetzt können Sie weiter machen [noise]";"e";"a";3
"1259737804437.txt";"TRANSCRIPTION: weiter";0;;
"1259737804682.txt";"TRANSCRIPTION: weiter";0;;
"1259738044763.txt";"TRANSCRIPTION: ich rufe jetzt zum vierten Mal bei Ihnen an wegen *einer* Reparatur im Keller von dem Anschluss ich warte jetzt schon drei Tage auf *einen* Termin jeden Tag wird mir versprochen der Termin wird mir mitgeteilt jetzt ist der dritte Tag vergangen und ich hab' immer noch keinen Termin [breath] jetzt rufe ich an Sie sagen mir das dauert Sekunden und jetzt hab' ich schon fast sieben Minuten mit Ihnen geredet und hab' immer noch keinen Termin ich wart' immer noch auf den Termin";3;"d";
"1259738285060.txt";"TRANSCRIPTION: [noise] weiter";0;;
"1259738645328.txt";"TRANSCRIPTION: [vocal] äußerst zufrieden";0;;
"1259738645639.txt";"TRANSCRIPTION: ja ich hab' gestern schon mal im Service Center angerufen und heute Morgen wieder gestern ist mir gar nicht geholfen worden [pause] heute Morgen hat der Kollege versucht mir zu helfen er hat dann festgestellt dass er irgendwo was anderes anrufen muss oder jemand anderes anrufen muss dann hab' ich wieder die Pausen Musik gehört [breath] und irgendwann hab' ich dann *nichts* mehr gehört und dann kam die Bewertung und *das* find' ich relativ schlecht das hat mindestens jetzt zehn Minuten gedauert";"c";;
"1259739005705.txt";"TRANSCRIPTION: ja Herr [nachn] der Berater war sehr kompetent und hat mir geholfen [breath] und ich hoffe dass also seine Angaben so sind dass ich in Zukunft wenn die Installation hier von @hes@ DSL surf passiert ich alles [fragment] @hes@ selbst hier durchführen kann herzlichen Dank [noise]";1;;
"1259739607119.txt";"TRANSCRIPTION: ja ich @hes@ fand die  Beratung @hes@ wirklich @hes@ sehr gut sehr freundlich und @hes@ ich wünsche mir das ich @hes@ immer so eine Beratung bekomme was leider nicht immer der Fall war";0;;
"1259739967458.txt";"TRANSCRIPTION: absolut perfekt vor allen Dingen fand ich sehr sehr gut dass keine Auskünfte erteilt werden ohne @hes@ dieses Codewort also total perfekte Beratung weiter [garbage]";0;;
"1259739967917.txt";"TRANSCRIPTION: die Mitarbeiterin Frau [nachn] war sehr freundlich und kompetent @hes@ [vocal] die vier Tage zuvor mit täglichen Anrufen bei anderen Mitarbeitern und dem dort vorgefundenen Service sprich Problemlösung [breath] waren äußerst unzufrieden stellend aber noch mal Betonung der letzte Anrufe der Kollegin die das Problem schnell gelöst hatte [breath] @hes@ war sehr gut ja danke";"d";;
"1259740329114.txt";"TRANSCRIPTION: [breath] also ich war richtig begeistert über dieses unkomplizierte Gespräch und dass mir auch sofort [breath] geholfen werden konnte weiter";0;;
"1259740329399.txt";"TRANSCRIPTION: b ich bin noch nie so schlecht behandelt worden und man hat noch nie so versucht mit mir zu diskutieren wie es Ihre Frau [vorn] [nachn] getan hat ich habe selbst *einen* Außendienst das dürften wir uns nicht erlauben wir hätten keine Kunden mehr und wenn ich nicht den Anschluss bräuchte würde ich auf Grund dessen bei der Telekom kündigen [pause] Sie können mich gern dazu anrufen das mag ich gern erläutern oder schicken Sie mir Post und ich werde das ausfüllen und schriftlich erläutern was passiert ist danke";"d";;
"1259740689453.txt";"TRANSCRIPTION: [vocal] die Verbindung wurde kurzfristig hergestellt und @hes@ die @hes@ Antwort hat mich befriedigt beziehungsweise die Leistung geht völlig in Ordnung";0;;
"1259740689680.txt";"TRANSCRIPTION: also die Dame war sehr freundlich hat mich wirklich gut beraten und mir gut geholfen ich fühlte mich gut aufgehoben danke";0;;
"1259740689718.txt";"TRANSCRIPTION: die Beratung war sehr hervorragend @hes@ ich bin sehr zufrieden mit der ganzen Angelegenheit";0;;
"1259740929790.txt";"TRANSCRIPTION: weiter";0;;
"1259741050072.txt";"TRANSCRIPTION: [breath] ich bin also [pause] informiert worden über Internet Anschluss [breath] und bin mit dem Ergebnis sehr zufrieden";1;;
"1259741050326.txt";"TRANSCRIPTION: ich hab' mein Problem geschildert und in der nächsten Sekunde war ich schon in dieser schicken Abfrage wie zufrieden ich bin";"b";;
"1259741530379.txt";"TRANSCRIPTION: @hes@ [noise] weiter [breath]";0;;
