"1260083550916.txt";" TRANSCRIPTION: ich bin sehr unzufrieden man hatte uns versprochen dass Telefon am Samstag anzuschließen seit ersten hab' ich kein Telefon und jetzt soll ich warten bis Montag heute ist Sonntag und brauch' unbedingt dringend Telefon und Internet also ich bin sehr sehr unzufrieden";1;;
"1260087631304.txt";" TRANSCRIPTION: ja was sag' ich *denn* jetzt also die Beratung war also die Frage wurde von mir gelöst aber die Dame hätte mich vielleicht mal auch weiter leiten können wenn *es* gehen würde also normalerweise ging [breath] das dann wünsch' ich Euch noch *einen* schönen Tag [vocal]";"d";;
"1260087751582.txt";"TRANSCRIPTION: [fragment] [garbage] weiter";0;;
"1260088111803.txt";" TRANSCRIPTION: [vocal] die Auskunft ist indifferent ich erfahre nicht ob dieser Anschluss gestört ist weil er angeblich nicht zu deutschen Telekom gehört also unbefriedigend";"d";;
"1260088592025.txt";" TRANSCRIPTION: [breath] unzufrieden weil das Telefonat war noch gar nicht beendet [garbage]";"b";;
"1260088712255.txt";" TRANSCRIPTION: ich war mit der Beratung sehr zufrieden die Frau hat mir das am Telefon sehr gut erklärt was man alles machen kann und ich kann nur sagen ich war sehr zufrieden bitte weiter";0;;
"1260089072620.txt";" TRANSCRIPTION: ich bin seit zwölf Jahren Kunde bei der Telekom @hes@ hab' nur Ärger @hes@ in letzter Zeit hat sich die Telekom bei mir immer gemeldet um mir DSL zu verkaufen das hab' ich jetzt auch wahrgenommen und @hes@ bin seit acht Wochen fast allein gelassen worden ruf' jeden Tag an damit ich überhaupt *ein* Signal bekomm' damit ich *eine* Kennung bekomm' weil die [fragment] die deutsche Telekom das nicht auf die Reihe bekommt mir meine endgültige @hes@ Kennung zu geben deswegen darf ich mich jetzt immer Samstags und Sonntags hinsetzen und für eine Woche *eine* neue Kennung einpflegen und darf jede Woche *einen* Service Techniker bezahlen also eine super Service Leistung der Telekom und wär' wirklich mal @hes@ *eine* Möglichkeit das mal an die Presse weiter zu geben ";1;3;
"1260089912906.txt";" TRANSCRIPTION: weiter [pause] weiter";0;;
"1260090513232.txt";"TRANSCRIPTION: [breath] ja ich war mit der Auskunft im rein technischen Sinne zufrieden [breath] @hes@ ich wurde sofort verstanden und @hes@ freundlich bedient und weiter geleitet [breath] wobei natürlich diese Automatisierung im Vorfeld immer wieder lästig ist [breath] @hes@ inhaltlich konnte ich nicht ganz zufrieden sein weil es sich um ein externes Problem handelt wo dann eine Störung im System der Telekom aufgetreten ist aber [breath] da muss man ja dann zur Kenntnis nehmen dass so etwas passiert und dann muss man eben ein wenig Geduld haben [pause] in meinem Falle sind das jetzt zwei Tage Ausfall des Internets und das ist natürlich etwas ärgerlich [pause] aber ansonsten war ich mit der Art und Wiese wie Ihre Mitarbeiter das gehändelt haben die Auskunft gehändelt haben zufrieden danke";3;;
"1260090514936.txt";" TRANSCRIPTION: [breath] mein Problem ist noch nicht gelöst ich warte auf den Störungs @hes@ Helfer";3;;
"1260091236402.txt";" TRANSCRIPTION: eine es handelt sich hier um eine recht späte Behebung des Störung Falls weil ja na wir *haben* zwei Tage quasi ohne DSL ohne Telefon";3;;
"1260092076703.txt";" TRANSCRIPTION: ja Ihre Mitarbeiterin Frau [nachn] war äußerst [pause] sympathisch und hat meine Fragen alle mit [fragment] äußerster Zufriedenheit beantwortet fertig [pause] weiter [garbage]";0;;
"1260092316932.txt";" TRANSCRIPTION: äußerst zufrieden";0;;
"1260092917192.txt";" TRANSCRIPTION: Annahme des Anrufs dauert zu lange [pause] fünf Minuten Warteschleife [garbage]";"e";;
"1260093157394.txt";" TRANSCRIPTION: Ihr Kollege hat mich *fünf **und* vierzig Minuten Minuten warten lassen ohne Rückruf und dann bin ich aus der Schleife raus geflogen";"e";"d";
"1260093157631.txt";" TRANSCRIPTION: @hes@ war schnell und korrekte Antwort weiter [noise]";0;;
"1260093277699.txt";" TRANSCRIPTION: also ich bin sehr zufrieden ich müsste jetzt nur noch mal nachhacken ob ich diese gewählte Nummer jetzt auch erreichen kann ansonsten bin ich sehr zufrieden [pause] [breath] hallo [garbage]";0;;
"1260093397907.txt";" TRANSCRIPTION: [fragment] [noise] weiter";0;;
"1260093758270.txt";" TRANSCRIPTION: jeder Service Mitarbeiter Ihres Unternehmens gibt andere Auskünfte Rückruftermine die zugesagt wurden werden nicht eingehalten [breath] @hes@ ich finde das Service Personal ist hier oftmals nicht kompetent weiter [pause] wenn ich bedenk' das ich jetzt wegen der Aufschaltung DSL tausend auf sechs tausend vier Wochen [breath] der Telekom hinterher telefonier' mit verschiedensten Stellen und @hes@ bis heute wurde es nicht zufrieden stellend ausgeführt [pause] ((das)) ein Service den ich vielleicht bei irgendeinem freien wo ich günstigere Angebote habe bekomme aber kein Telekom Service mehr also das rechtfertigt den Mehrpreis nicht [noise]";"d";1;
"1260093998568.txt";" TRANSCRIPTION: unzufrieden";0;;
"1260094238829.txt";" TRANSCRIPTION: [breath] na ja im Allgemeinen ist das so dass Ihre Mitarbeiter nicht so ganz Bescheid wissen über Ihre Werbeaktionen die Sie da verteilen [breath] dann muss man sich durchwählen durch irgend so *ein* elektronisches System @hes@ [fragment] wo man auch nicht so recht dann weiß welche Untergruppe das jetzt ist [breath] @hes@ ja [pause] das war's im Prinzip ansonsten letztendlich hab' ich die Nachrichten bekommen die ich haben wollte aber das war ein @hes@ langer Weg";"d";;
"1260095079041.txt";" TRANSCRIPTION: [fragment] [pause] weiter [vocal]";0;;
"1260095199230.txt";" TRANSCRIPTION: ich habe soeben einen Neuanschluss beantragt und wirklich mit einer sehr sehr netten freundlichen kompetenten Dame gesprochen und dafür möcht' ich mich recht herzlich bedanken";1;;
"1260095319479.txt";" TRANSCRIPTION: weiter";0;;
"1260095679710.txt";" TRANSCRIPTION: das war eine nette kompetente Mitarbeiterin";0;;
"1260095799904.txt";" TRANSCRIPTION: [noise] zweiter Anruf und ohne irgendwelchen Kommentare einfach auflegen ist *eine* Schweinerei [noise]";"b";;
"1260095920136.txt";" TRANSCRIPTION: ich habe Post bekommen @hes@ mit der Gratulation @hes@ zur Existenzgründung ich möchte wissen woher die Telekom wissen möchte dass ich Existenzgründer bin die Dame die den Anruf gerade entgegen genommen hat mich daraufhin dass ich gemeint habe sie soll das doch bitte aufnehmen und @hes@ weiterleiten mich einfach aus der Leitung gedrückt also sie hat mich einfach aufgelegt so was hab' ich noch nicht erlebt";"b";"d";
"1260096520365.txt";" TRANSCRIPTION: [breath] ich hatte ein Gespräch mit einem Herrn [nachn] dieser Herr sehr kompetent sehr freundlich und voll zu meiner Zufriedenheit die Geschichte erledigt danke";0;;
"1260096760564.txt";" TRANSCRIPTION: [fragment] [pause] weiter";0;;
"1260097000771.txt";" TRANSCRIPTION: sehr unfreundlicher Bearbeiter [noise]";"d";;
"1260097842462.txt";" TRANSCRIPTION: [vorn] [nachn] Telefonnummer [tel] Kundennummer [kundennr] [breath] mein Anliegen wurden seitens @hes@ des Beraters der allgemein Hotline null acht hundert drei hundert dreißig ein tausend (()) Telekom bestens erfüllt ich kann nur sagen Schulnote eins mehr kann ich dazu nicht sagen Ende [garbage]";0;;
"1260097962753.txt";" TRANSCRIPTION: ich bin sehr zufrieden mit dem Anruf ich wurde sehr freundlich bedient @hes@ sehr freundlich begrüßt und die Informationen waren ausreichend";0;;
"1260098563015.txt";" TRANSCRIPTION: weiter";0;;
"1260098564718.txt";" TRANSCRIPTION: die Dame am Telefon war sehr freundlich und hat sich meines Problems angenommen und auch versucht @hes@ für mich dementsprechend zu arbeiten *das* hat mir sehr gut gefallen";0;;
"1260098926167.txt";" TRANSCRIPTION: [vocal] der Kollege war sehr sehr nett konnte mir aber leider nicht helfen da ich aus der Leitung geworfen wurde und einfach in Ihre Umfrage weiter geleitet wurde das ist ja wohl unmöglich";"b";;
"1260099046381.txt";" TRANSCRIPTION: weiter";0;;
"1260099166631.txt";" TRANSCRIPTION: [breath] also der Service bei T-Mobile war früher mal etwas besser [breath] mit dem jungen Mann den ich eben telefoniert hab' [breath] wenn ich als Verkäuferin so schnell die Fassung am Telefon verlieren würde würd' ich glaub' ich nicht mehr in meinem Job arbeiten";"d";;
