@relation eacciTranscripts
@attribute transcript string
@attribute class {kdsv,kmpt,knbr,untr,noap}
@data
"Sie war nicht groß gewillt mir zu helfen", kmpt
"man wollte mich verbinden und ich bin jetzt zu Ihnen zur Beurteilung gekommen ich möchte noch gar nicht beurteilen weil ich erst mal meinen Service bekommen möchte", knbr
"es geht um die Kundennummer  also die werd ich auf jeden Fall zurückerstatten kümmert Euch doch mal um solche Fälle irgendwo ist da der Hund begraben keiner kann etwas sagen und helfen also irgendwo geht das vollkommen an Euch vorbei danke", kdsv
"es geht um die Kundennummer  also die werd ich auf jeden Fall zurückerstatten kümmert Euch doch mal um solche Fälle irgendwo ist da der Hund begraben keiner kann etwas sagen und helfen also irgendwo geht das vollkommen an Euch vorbei danke", kdsv
"es geht um die Kundennummer  also die werd ich auf jeden Fall zurückerstatten kümmert Euch doch mal um solche Fälle irgendwo ist da der Hund begraben keiner kann etwas sagen und helfen also irgendwo geht das vollkommen an Euch vorbei danke", kmpt
"es konnte mir leider nicht geholfen werden", noap
"ich   an irgendeine Firma bezahlen soll ich habe keine Kundennummer und die Dame verlangte von mir eine Kundennummer", kdsv
"meine DSL Leistung funktioniert nicht", kdsv
"es ist es ist überhaupt kein Gespräch zustande gekommen ich war in der Warteschleife und  bin  für mich", knbr
"es geht mir dem wegen meine Verträge wollt ich was verlängern und  die Kollegin hat war nicht  also war ich nicht zufrieden", kdsv
"es geht um einen Handy Austausch ich bin deswegen unzufrieden weil hieß   es käme vor drei Tagen ist nicht angekommen und ich krieg auch keine Informationen dass sich dieser Termin verschiebt oder was überhaupt mit dem Gerät ist ich muss ständig bei Ihnen anrufen das ist absolut Käse Sie sind ein Kommunikationsunternehmen und sollten in der Lage sein auch Ihre Zulieferer so weit zu bringen dass die mit den Kunden kommunizieren in irgendeiner Art und Weise und deswegen bin ich sehr verärgert Ende", kdsv
"es geht um einen Handy Austausch ich bin deswegen unzufrieden weil hieß   es käme vor drei Tagen ist nicht angekommen und ich krieg auch keine Informationen dass sich dieser Termin verschiebt oder was überhaupt mit dem Gerät ist ich muss ständig bei Ihnen anrufen das ist absolut Käse Sie sind ein Kommunikationsunternehmen und sollten in der Lage sein auch Ihre Zulieferer so weit zu bringen dass die mit den Kunden kommunizieren in irgendeiner Art und Weise und deswegen bin ich sehr verärgert Ende", kmpt
"es geht hier um eine Vertragsverlängerung ja von zwei Telefonanschlüssen ja wo mir die Telekom nur eine Kulanz gibt von zwanzig Euro für ein Endgerät her wobei der Anschluss von wo aus telefoniert wird im Grunde ist der sechzehn Jahre schon bei Euch unter Vertrag ist ja und aus dem Grund her dass man sich nicht einig wird und wie gesagt nur eine Kulanz von zwanzig Euro da ist wird jetzt der eine Vertrag sowohl als der andere Vertrag gekündigt", kdsv
"schlechte Beratung", kmpt
"Sie haben mir    vierzig Euro und neunzig Cent das find ich überhaupt nicht in Ordnung keiner hat mir vorher Bescheid gesagt dass ich bezahlen muss obwohl ich das nicht ja gar nicht gemacht hat ich war ja auch nicht da deshalb  hab ich überhaupt nicht gesehen Punkt", kdsv
"Sie haben mir    vierzig Euro und neunzig Cent das find ich überhaupt nicht in Ordnung keiner hat mir vorher Bescheid gesagt dass ich bezahlen muss obwohl ich das nicht ja gar nicht gemacht hat ich war ja auch nicht da deshalb  hab ich überhaupt nicht gesehen Punkt", kdsv
"ich wurde nicht verbunden", knbr
"die Organisation bei Ihnen ist katastrophal ich sollte im Moment von der Anmeldung verbunden werden zur Umzugs Organisation und da kommt dieser verrückte  ich finde nur Roboter die ich  beantworten muss gibt denn überhaupt keine persönliche Gespräch mehr", kdsv
"ich bin überhaupt nicht geleitet worden ich konnte mit  niemand sprechen", knbr
"habe keine Antwort auf meine Frage bekommen angeblich warten noch andere Kunden in der Leitung und das Gespräch ist jetzt zu Ende", knbr
"kein direkter Kontakt möglich warten ohne Hilfe", knbr
"es ist nervig dass man geleitet wird und dass Sie sich nicht vergewissern dass der andere an der  Leitung an der anderen Leitung es annehmen kann und dass ich auch eine Bewertung machen soll ohne bevor gefragt zu werden ich möchte verbunden werden bitte", knbr
"man man wird absolut nur in Warteschleifen reingestellt das kann nicht sein Sie verärgern damit nicht nur Ihre Kunden sondern die springen auch ab", noap
"hallo hallo", noap
"erstens hab ich eine Viertelstunde auf die  auf den Anschluss gewartet dann sollt ich verbunden werden zu einem Techniker und wurde abgewürgt das finde ich unmöglich ich kann doch nicht jedes Mal eine Viertelstunde warten bis mir jemand irgendwas sagen kann mich verbindet und ich dann wieder abgewürgt werde", kmpt
"der ganze Service wie man mit mit Kunde umgeht und ständig immer wiederholte  Fragen und  das ist  viel versprochen und im Endeffekt gar nichts gemacht", kmpt
"ich werde hier sehr unprofessionell behandelt also es ist ein unerwünschter Auftrag der bei Euch im System ist und jetzt geht um die Hardware die zurückgeschickt werden soll  unterm Strich sehr unzufriedener Telekom Kunde hier", kdsv
"super unfreundlich Gespräch wurde einfach beendet", untr
