@relation eacciTranscripts
@attribute transcript string
@attribute class {kdsv,kmpt,knbr,noap,rchn,strg,umzg,untr}
@data
"Verbindung zustande es meldete sich niemand", knbr
"ich finde es seltsam  unterschiedliche Auskunft zu erhalten ich war davon ausgegangen in eine prepaid Karte wechseln zu können hab dafür auch hin fünfzehn Euro monatlich gezahlt jetzt ein Jahr lang und im Endeffekt dann ein ein halb beziehungsweise fast zwei Jahre lang  und versteh wirklich nicht ganz warum und wechseln kann ich jetzt in keinen anderen Tarif obwohl ich sag ich möchte überhaupt nicht telefonieren ich nutz das Telefon im Moment nicht weil ich ein Baby bekommen hab und beruflich einfach mindestens bis Februar nächsten Jahres nicht telefonieren werde ich find  seltsam", kdsv
"ich finde es seltsam  unterschiedliche Auskunft zu erhalten ich war davon ausgegangen in eine prepaid Karte wechseln zu können hab dafür auch hin fünfzehn Euro monatlich gezahlt jetzt ein Jahr lang und im Endeffekt dann ein ein halb beziehungsweise fast zwei Jahre lang  und versteh wirklich nicht ganz warum und wechseln kann ich jetzt in keinen anderen Tarif obwohl ich sag ich möchte überhaupt nicht telefonieren ich nutz das Telefon im Moment nicht weil ich ein Baby bekommen hab und beruflich einfach mindestens bis Februar nächsten Jahres nicht telefonieren werde ich find  seltsam", kmpt
"ich muss doch erstmal mit einem Berater sprechen ich hab ja noch keinen Berater gehabt", untr
"ihre Kollegin  sieht nur etwas nach für mich und ich möchte sprechen", knbr
"das Gespräch war noch gar nicht beendet und da werd ich nach der Bewertung gefragt ich habe  lange darauf gewartet bis ich eine  Nachricht bekomme und dann wurde ich rausgeschmissen und es ging zur Bewertung da kann ich natürlich nicht zufrieden sein", knbr
"das Gespräch war noch gar nicht beendet und da werd ich nach der Bewertung gefragt ich habe  lange darauf gewartet bis ich eine  Nachricht bekomme und dann wurde ich rausgeschmissen und es ging zur Bewertung da kann ich natürlich nicht zufrieden sein", noap
"ich komme nicht an den Berater dran das ist nicht gut ich warte schon zehn Minuten", untr
"ich komme nicht an den Berater dran das ist nicht gut ich warte schon zehn Minuten", noap
"ich wurde falsch verstanden ich bin äußerst zufrieden danke", noap
"noch kein Gespräch mit unserem Service Leiter mit ihrem Service Leiter hier am Telefon", noap
"das Gespräch war nicht beendet", knbr
"ich wühle", kmpt
"hab keine Antwort erhalten   bin rausgeschmissen worden", knbr
"geh", noap
"die Auskunft", noap
"Dame hat einfach aufgelegt", noap
"mit der ich gesprochen hab war denke ich mal nicht nicht der deutschen Sprache überaus mächtig sie hatte einen ostdeutschen Akzent und daher sehr schwer zu verstehen des Weiteren denk ich mal wird sie nicht genau wissen was ich für ein Problem habe und konnte mir auch keine Lösung anbieten", kmpt
"lange Response Zeit  unsicher vermischten Eindruck nicht kompetent danke", kmpt
"einmal haben die einfach schon aufgelegt zweimal einfach aufgelegt ohne unsere Fragen zu beantworten", knbr
"hat sie mich  und jetzt sind sie dran", noap
"leider hatte ich gar keinen Berater am Telefon sondern habe nur ein Rauschen in der Leitung gehört jetzt muss ich wahrscheinlich diese ganze Prozedur von eben noch mal wieder machen  für die ich eben schon drei Minuten gebraucht habe deswegen bin ich ziemlich unzufrieden", untr
"leider hatte ich gar keinen Berater am Telefon sondern habe nur ein Rauschen in der Leitung gehört jetzt muss ich wahrscheinlich diese ganze Prozedur von eben noch mal wieder machen  für die ich eben schon drei Minuten gebraucht habe deswegen bin ich ziemlich unzufrieden", noap
"ein Gespräch mit einem Berater kam nicht zustande", untr
"ich hab heut eine mehr oder weniger eine Tarif Umstellung gemacht von dem relax ein tausend auf diese super Flat wo jetzt neun und achtzig Euro fünf und neunzig kostet  ich hab jetzt mein alten also diese zwei tausend abrufen lassen und jetzt wird mir berechnet die drei hundert Minuten und weil ich schon fast fünf hundert Minuten gehabt hab für die zwei hundert Minuten bezahl ich dann sechs und fünfzig Euro und ab heute zahle ich anteilig auch noch  für diesen super Flatrate von diesen neun und achtzig fünf und neunzig will man mir abbuchen es sind bestimmt nächsten Monat hundert achtzig Euro dort mit dieser Sache bin ich absolut nicht einverstanden und  grad hab ich mit einem Kundenberater diesbezüglich gesprochen und dann wurd ich wie gesagt  weggedrückt und kam dann Computerstimme also das kann  ja nicht sein", kdsv
"ich hab heut eine mehr oder weniger eine Tarif Umstellung gemacht von dem relax ein tausend auf diese super Flat wo jetzt neun und achtzig Euro fünf und neunzig kostet  ich hab jetzt mein alten also diese zwei tausend abrufen lassen und jetzt wird mir berechnet die drei hundert Minuten und weil ich schon fast fünf hundert Minuten gehabt hab für die zwei hundert Minuten bezahl ich dann sechs und fünfzig Euro und ab heute zahle ich anteilig auch noch  für diesen super Flatrate von diesen neun und achtzig fünf und neunzig will man mir abbuchen es sind bestimmt nächsten Monat hundert achtzig Euro dort mit dieser Sache bin ich absolut nicht einverstanden und  grad hab ich mit einem Kundenberater diesbezüglich gesprochen und dann wurd ich wie gesagt  weggedrückt und kam dann Computerstimme also das kann  ja nicht sein", noap
"ich hab versucht viermal anzurufen und jedes Mal bin ich aus der Leitung geschmissen worden und jetzt lande ich automatisch auf dem Band der Zufriedenheits Kontrolle das ist ja wohl eine Zumutung ich kann doch nicht andauernd anrufen und zum Schluss gefragt werden sind sie denn zufrieden was wollen sie denn von mir hören das ist doch mehr wie schlecht sie werden immer schlechter mit ihrem Service das muss ich schon sagen", untr
"also das ganze Gespräch war miserabel der  die Beratung war miserabel wenn mit dem Mitarbeiter konnte man sich gar nicht unterhalten er versucht mich hier noch als dumm darzustellen  ich hab das noch nicht mal schriftlich gekriegt was  ich bezahlen soll wieso krieg ich das denn nicht schriftlich damit  nicht dass ich überweise und wieder so eine fristlose Kündigung kriege", kmpt
"also das ganze Gespräch war miserabel der  die Beratung war miserabel wenn mit dem Mitarbeiter konnte man sich gar nicht unterhalten er versucht mich hier noch als dumm darzustellen  ich hab das noch nicht mal schriftlich gekriegt was  ich bezahlen soll wieso krieg ich das denn nicht schriftlich damit  nicht dass ich überweise und wieder so eine fristlose Kündigung kriege", noap
"es ist nicht zufrieden stellen einfach aufgelegt wird und man nicht einmal eine Rückmeldung oder einen versprochenen Rückruf bekommt seit einem Jahr warte ich hierauf und jede Woche kann ich hier wieder anrufen und dann wird einfach aufgelegt dass ist unverschämt mehr fällt mir dazu nicht ein", noap
"es ist nicht zufrieden stellen einfach aufgelegt wird und man nicht einmal eine Rückmeldung oder einen versprochenen Rückruf bekommt seit einem Jahr warte ich hierauf und jede Woche kann ich hier wieder anrufen und dann wird einfach aufgelegt dass ist unverschämt mehr fällt mir dazu nicht ein", noap
