@relation eacciTranscripts
@attribute transcript string
@attribute class {kdsv,kmpt,knbr,untr,noap}
@data
"durch dieses fragwürdige  Fragestellung hier wurd ich im Gespräch unterbrochen", untr
"es ist einfach ätzend so lange mit einem Sprachcomputer sprechen zu müssen bis man endlich einen persönlichen Kontakt zu einem Berater bekommt", noap
"der Auftrag ist nicht richtig angenommen worden", noap
"ich hab noch keine Antwort erhalten ich wurde gleich gestellt", knbr
"das Gespräch wurde irgendwann abgebrochen ich wurde verbunden und dann bin ich direkt bei der Befragung gelandet das war alles", untr
"der Kundenberater scheint einfach überfordert zu sein ein Problem zu beheben und  und stellt ständig dumme Fragen die sich ständig wiederholen als wenn ich wüsste worum das Problem liegt wenn ich das das Problem wird von uns seit einem Vierteljahr immer wieder gemeldet und da fragt die mich was für ein Problem wir haben also langsam sollte das glaub ich bei Euch irgendwo notiert sein in Eurem Service", kdsv
"der Kundenberater scheint einfach überfordert zu sein ein Problem zu beheben und  und stellt ständig dumme Fragen die sich ständig wiederholen als wenn ich wüsste worum das Problem liegt wenn ich das das Problem wird von uns seit einem Vierteljahr immer wieder gemeldet und da fragt die mich was für ein Problem wir haben also langsam sollte das glaub ich bei Euch irgendwo notiert sein in Eurem Service", kmpt
"war nicht gewünscht wie gewünscht hat gedauert vierzig Minuten das Gespräch", noap
"ich hab mit niemanden gesprochen und jetzt muss ich eine Bewertung abgeben", knbr
"ich hab  Gespräch abgebrochen", untr
"ich habe schon zweimal angerufen und ich werde jedes Mal aus der Leitung geschmissen da bin ich verärgert drüber das war", knbr
"auf eine Antwort gewartet und bin einfach aus der Leitung geflogen es hat keiner es für nötig befunden sich mit mir zu unterhalten ich habe eine Störung die schon des Öfteren vorgekommen ist die wird wohl auch morgen irgendwann bearbeitet werden ich habe keine Ahnung und  von Ihrer Abteilung wo ich jetzt gelandet bin hat es keine nötig sich mit mir zu unterhalten man hat mich auf die Warteschleife gesetzt und ich bin jetzt auf die aufgrund der Zeitschleife wohl einfach rausgeflogen ich habe null Beratung gehabt und habe eine halbe Stunde warten müssen", kdsv
"auf eine Antwort gewartet und bin einfach aus der Leitung geflogen es hat keiner es für nötig befunden sich mit mir zu unterhalten ich habe eine Störung die schon des Öfteren vorgekommen ist die wird wohl auch morgen irgendwann bearbeitet werden ich habe keine Ahnung und  von Ihrer Abteilung wo ich jetzt gelandet bin hat es keine nötig sich mit mir zu unterhalten man hat mich auf die Warteschleife gesetzt und ich bin jetzt auf die aufgrund der Zeitschleife wohl einfach rausgeflogen ich habe null Beratung gehabt und habe eine halbe Stunde warten müssen", knbr
"auf eine Antwort gewartet und bin einfach aus der Leitung geflogen es hat keiner es für nötig befunden sich mit mir zu unterhalten ich habe eine Störung die schon des Öfteren vorgekommen ist die wird wohl auch morgen irgendwann bearbeitet werden ich habe keine Ahnung und  von Ihrer Abteilung wo ich jetzt gelandet bin hat es keine nötig sich mit mir zu unterhalten man hat mich auf die Warteschleife gesetzt und ich bin jetzt auf die aufgrund der Zeitschleife wohl einfach rausgeflogen ich habe null Beratung gehabt und habe eine halbe Stunde warten müssen", kmpt
"ich habe insgesamt viermal angerufen bin dreimal aus der Leitung geflogen das vierte Mal wurde der Anruf nicht entgegen genommen nach  circa fünf Minuten kam dann Ihre automatische Anfrage wie kann damit ein Mensch zufrieden sein es ist eine Riesensauerei dass Ihre Hotline insbesondere für den Geschäftskunden nicht zu erreichen ist ich bin sauer", knbr
