@relation eacciTranscripts
@attribute transcript string
@attribute class {kdsv,kmpt,knbr,noap,rchn,strg,umzg,untr}
@data
"wer soll denn auf der Leitung bleiben dass unsere Leitung geprüft werden und statt sich der Mitarbeiter zurückmeldet kriegen wir diese Abfrage ob wir zufrieden sind oder nicht zufrieden sind also wie soll ich sagen  wo liegt der Trick da sind wir bei bitte Lächeln oder also wir warten dass wir dass wir geholfen werden und stattdessen kriegen wir eine Abfrage was", kmpt
"die Beraterin war sehr frech und hat einfach aufgelegt", noap
"die Beraterin war sehr frech und hat einfach aufgelegt", kmpt
"ich habe gar keine Verbindung bekommen mit dem Servicecenter", untr
"wollte mit ihrem Berater darüber sprechen dass es hier ein Problem gibt dass sie mit einem neuen Tarif eine Mailbox eingerichtet haben sie mir das nicht mitgeteilt haben und beide Gespräche sind wortlos abgebrochen worden", kdsv
"wollte mit ihrem Berater darüber sprechen dass es hier ein Problem gibt dass sie mit einem neuen Tarif eine Mailbox eingerichtet haben sie mir das nicht mitgeteilt haben und beide Gespräche sind wortlos abgebrochen worden", knbr
"ich habe kein  ich habe keine Antwort bekommen auf meine Frage leider", noap
"Freundlichkeit und Kompetenz des Mitarbeiters", kmpt
"Ansprechpartner", noap
"mit jemand persönlich sprechen und nicht bloß mit einem Computer", untr
"seit letzten vor sechs Tagen habe ich eine Störung des Telefonanschlusses gemeldet ich kann seit sechs Tagen nicht telefonieren und keiner kann mir eine wirklich konkrete Auskunft geben was nun noch genau passiert woran  liegt und wann ich mit einer Behebung rechnen kann ich bezahle jetzt schon wieder völlig für umsonst für eine Woche Grundgebühren und das und damit bin ich überhaupt nicht zufrieden dass man keine konkrete Auskunft bekommt wie der Status ist was los ist und wann  behoben wird", strg
"seit letzten vor sechs Tagen habe ich eine Störung des Telefonanschlusses gemeldet ich kann seit sechs Tagen nicht telefonieren und keiner kann mir eine wirklich konkrete Auskunft geben was nun noch genau passiert woran  liegt und wann ich mit einer Behebung rechnen kann ich bezahle jetzt schon wieder völlig für umsonst für eine Woche Grundgebühren und das und damit bin ich überhaupt nicht zufrieden dass man keine konkrete Auskunft bekommt wie der Status ist was los ist und wann  behoben wird", noap
"war überhaupt nicht zufrieden mit Telekom komplette  was in der letzten Zeit ist mit Telekom ist gar nichts mehr gut sie werden dafür auch  komplette Rechnungen komplette Verbindungen das mit Telekom abzubrechen da es für mich privat und geschäftlich ist danke", noap
"Gespräch stattgefunden", noap
