@relation tinkaEmo
@attribute text string
@attribute class {neutral,worry,angry,happy}

@Data
'laut tarifbeschreibung gehört zum tartif unlimited anruf und sms inland und 200 min un sms ausland (eu)',neutral
'Eine Frage zu den Tarifen noch. Bei beiden Tarifen steht unlimitiert Datenvolumen. Was bedeutet dies im Detail',neutral
'ich habe eine klax wertkarte am {potentielle_id}. gekauft und aufgeladen mit {potentielle_id} freiminuten{potentielle_id} frei sms und 3 gb datenvolumen',neutral
'habe eine frage zu my mobile light tarif',neutral
'telefonisch komme ich nicht durch hier bekomme ich eine übersichtseite nicht mehr aktueller tarife danke - bringt auch nichts!',angry
'wie kann ich mobil surfen ohne vertrag?',neutral
'habe ich bei meinem vertrag ein unlimitiertes datenvolumen?',neutral
'ist das angebot mit 0€ aktivierungskosten und gratis netcube zeitlich begrenzt?',neutral
'datenvolumen unlimitiertbei my homenet',neutral
'tarife ohne bindung und mit handy',neutral
'was ist der günstigste tarif für mich?',neutral
'tarif mit freimunten nach bosnien',neutral
'please {name} me price for 1 mb in klax total tariff',neutral
'was ist die fair use grenze?',neutral
'"hallo. ist der vertrag ""my homenet unlimited light"" eine flatrate? oder können noch zusatzkosten zu den €1999 hinzukommen?"',neutral
'aber wie viele costet im deutchland',neutral
'kann ich meine flamingos bei diesem angebot eintauschen',neutral
'wir haben seit fr den turbo tarif zum testen waren am wochenende sehr zufrieden plötzlich aber sehr langsam. warum?',neutral
'meine kundennummer ist {potentielle_id} habe ich bei meinem tarif ein unbegrenztes datenvolumen? mfg {name}',neutral
'kann es sein dass das unlimitierte internet auf einmal weg ist?',neutral
'ich habe einen neuen tmobile tarif mit dem handy huawei',neutral
'ich habe den tarif unlimited data premium wie schnell ist dieser ?',neutral
'habt ihr jugendtarife?',neutral
'sie haben ein internet paket zusatpaket in angebot 2gb kosten loswen ich das paket dazu nehme verfalen dan meine 4gb?',neutral
'was passiert wenn das datenvolumen aufgebraucht ist',neutral
'ist das es verpflichtend das basispaket',neutral
'habt ihr nur die 3 tarife extreme turbo light oder auch andere? z. b. für studenten?',neutral
'hallo tinka! ich bin auf der suche nach einem günstigen tarif. nur telefonie kein internet',neutral
'was ist all inclusive youngstar',neutral
'was ist inland mobile',neutral
'hallo in meinem tarif my mobile extreme i {potentielle_id} s auch travel',neutral
'ich suche einen tarif',neutral
'ich habe den treue tarif 15',neutral
'wieviel kostet ein anruf nach edinburgh?',neutral
